,word,token
0,fawn,34701
1,tsukino,52006
2,nunnery,52007
3,sonja,16816
4,vani,63951
5,woods,1408
6,spiders,16115
7,hanging,2345
8,woody,2289
9,trawling,52008
10,hold's,52009
11,comically,11307
12,localized,40830
13,disobeying,30568
14,'royale,52010
15,harpo's,40831
16,canet,52011
17,aileen,19313
18,acurately,52012
19,diplomat's,52013
20,rickman,25242
21,arranged,6746
22,rumbustious,52014
23,familiarness,52015
24,spider',52016
25,hahahah,68804
26,wood',52017
27,transvestism,40833
28,hangin',34702
29,bringing,2338
30,seamier,40834
31,wooded,34703
32,bravora,52018
33,grueling,16817
34,wooden,1636
35,wednesday,16818
36,'prix,52019
37,altagracia,34704
38,circuitry,52020
39,crotch,11585
40,busybody,57766
41,tart'n'tangy,52021
42,burgade,14129
43,thrace,52023
44,tom's,11038
45,snuggles,52025
46,francesco,29114
47,complainers,52027
48,templarios,52125
49,272,40835
50,273,52028
51,zaniacs,52130
52,275,34706
53,consenting,27631
54,snuggled,40836
55,inanimate,15492
56,uality,52030
57,bronte,11926
58,errors,4010
59,dialogs,3230
60,yomada's,52031
61,madman's,34707
62,dialoge,30585
63,usenet,52033
64,videodrome,40837
65,kid',26338
66,pawed,52034
67,'girlfriend',30569
68,'pleasure,52035
69,'reloaded',52036
70,kazakos',40839
71,rocque,52037
72,mailings,52038
73,brainwashed,11927
74,mcanally,16819
75,tom'',52039
76,kurupt,25243
77,affiliated,21905
78,babaganoosh,52040
79,noe's,40840
80,quart,40841
81,kids,359
82,uplifting,5034
83,controversy,7093
84,kida,21906
85,kidd,23379
86,error',52041
87,neurologist,52042
88,spotty,18510
89,cobblers,30570
90,projection,9878
91,fastforwarding,40842
92,sters,52043
93,eggar's,52044
94,etherything,52045
95,gateshead,40843
96,airball,34708
97,unsinkable,25244
98,stern,7180
99,cervi's,52046
100,dnd,40844
101,dna,11586
102,insecurity,20598
103,'reboot',52047
104,trelkovsky,11037
105,jaekel,52048
106,sidebars,52049
107,sforza's,52050
108,distortions,17633
109,mutinies,52051
110,sermons,30602
111,7ft,40846
112,boobage,52052
113,o'bannon's,52053
114,populations,23380
115,chulak,52054
116,mesmerize,27633
117,quinnell,52055
118,yahoo,10307
119,meteorologist,52057
120,beswick,42577
121,boorman,15493
122,voicework,40847
123,ster',52058
124,blustering,22922
125,hj,52059
126,intake,27634
127,morally,5621
128,jumbling,40849
129,bowersock,52060
130,'porky's',52061
131,gershon,16821
132,ludicrosity,40850
133,coprophilia,52062
134,expressively,40851
135,india's,19500
136,post's,34710
137,wana,52063
138,wang,5283
139,wand,30571
140,wane,25245
141,edgeways,52321
142,titanium,34711
143,pinta,40852
144,want,178
145,pinto,30572
146,whoopdedoodles,52065
147,tchaikovsky,21908
148,travel,2103
149,'victory',52066
150,copious,11928
151,gouge,22433
152,chapters',52067
153,barbra,6702
154,uselessness,30573
155,wan',52068
156,assimilated,27635
157,petiot,16116
158,mostand,52069
159,dinosaurs,3930
160,wrong,352
161,seda,52070
162,stollen,52071
163,sentencing,34712
164,ouroboros,40853
165,assimilates,40854
166,colorfully,40855
167,glenne,27636
168,dongen,52072
169,subplots,4760
170,kiloton,52073
171,chandon,23381
172,effect',34713
173,snugly,27637
174,kuei,40856
175,welcomed,9092
176,dishonor,30071
177,concurrence,52075
178,stoicism,23382
179,guys',14896
180,beroemd',52077
181,butcher,6703
182,melfi's,40857
183,aargh,30623
184,playhouse,20599
185,wickedly,11308
186,fit,1180
187,labratory,52078
188,lifeline,40859
189,screaming,1927
190,fix,4287
191,cineliterate,52079
192,fic,52080
193,fia,52081
194,fig,34714
195,fmvs,52082
196,fie,52083
197,reentered,52084
198,fin,30574
199,doctresses,52085
200,fil,52086
201,zucker,12606
202,ached,31931
203,counsil,52088
204,paterfamilias,52089
205,songwriter,13885
206,shivam,34715
207,hurting,9654
208,effects,299
209,slauther,52090
210,'flame',52091
211,sommerset,52092
212,interwhined,52093
213,whacking,27638
214,bartok,52094
215,barton,8775
216,frewer,21909
217,fi',52095
218,ingrid,6192
219,stribor,30575
220,approporiately,52096
221,wobblyhand,52097
222,tantalisingly,52098
223,ankylosaurus,52099
224,parasites,17634
225,childen,52100
226,jenkins',52101
227,metafiction,52102
228,golem,17635
229,indiscretion,40860
230,reeves',23383
231,inamorata's,57781
232,brittannica,52104
233,adapt,7916
234,russo's,30576
235,guitarists,48246
236,abbott,10553
237,abbots,40861
238,lanisha,17649
239,magickal,40863
240,mattter,52105
241,'willy,52106
242,pumpkins,34716
243,stuntpeople,52107
244,estimate,30577
245,ugghhh,40864
246,gameplay,11309
247,wern't,52108
248,n'sync,40865
249,sickeningly,16117
250,chiara,40866
251,disturbed,4011
252,portmanteau,40867
253,ineffectively,52109
254,duchonvey's,82143
255,nasty',37519
256,purpose,1285
257,lazers,52112
258,lightened,28105
259,kaliganj,52113
260,popularism,52114
261,damme's,18511
262,stylistics,30578
263,mindgaming,52115
264,spoilerish,46449
265,'corny',52117
266,boerner,34718
267,olds,6792
268,bakelite,52118
269,renovated,27639
270,forrester,27640
271,lumiere's,52119
272,gaskets,52024
273,needed,884
274,smight,34719
275,master,1297
276,edie's,25905
277,seeber,40868
278,hiya,52120
279,fuzziness,52121
280,genesis,14897
281,rewards,12607
282,enthrall,30579
283,'about,40869
284,recollection's,52122
285,mutilated,11039
286,fatherlands,52123
287,fischer's,52124
288,positively,5399
289,270,34705
290,ahmed,34720
291,zatoichi,9836
292,bannister,13886
293,anniversaries,52127
294,helm's,30580
295,'work',52128
296,exclaimed,34721
297,'unfunny',52129
298,274,52029
299,feeling,544
300,wanda's,52131
301,dolan,33266
302,278,52133
303,peacoat,52134
304,brawny,40870
305,mishra,40871
306,worlders,40872
307,protags,52135
308,skullcap,52136
309,dastagir,57596
310,affairs,5622
311,wholesome,7799
312,hymen,52137
313,paramedics,25246
314,unpersons,52138
315,heavyarms,52139
316,affaire,52140
317,coulisses,52141
318,hymer,40873
319,kremlin,52142
320,shipments,30581
321,pixilated,52143
322,'00s,30582
